text,subject
Explain the administration under Ashoka. (Ref: 702),History
Ashoka embraced Buddhism after the Kalinga war. (Ref: 457),History
I counted 12 birds on the tree. (Ref: 1973),Maths
It's going to rain later today. (Ref: 1123),English
Define the principle of buoyancy. (Ref: 720),Science
They travelled 250 km in 5 hours. (Ref: 2292),Maths
Identify the verb in this sentence. (Ref: 1414),English
Use 'however' in a complex sentence. (Ref: 1985),English
The sun is a natural source of light. (Ref: 2355),Science
Do you want to join us for lunch? (Ref: 1382),English
Explain Mendel’s law of inheritance. (Ref: 2165),Science
The train takes 3 hours to reach Delhi. (Ref: 39),Maths
The Maratha empire resisted the Mughals. (Ref: 865),History
Ashoka embraced Buddhism after the Kalinga war. (Ref: 434),History
He ran 5 km in the morning. (Ref: 2446),Maths
Describe how vaccines work. (Ref: 2407),Science
Define a rational number. (Ref: 1819),Maths
What is the area of a triangle with base 5cm and height 4cm? (Ref: 2491),Maths
Convert this direct speech to reported speech. (Ref: 753),English
I paid ₹120 for 2 books. (Ref: 870),Maths
How did Shivaji Maharaj defend his forts? (Ref: 2021),History
I enjoy reading novels before bed. (Ref: 1087),English
Chhatrapati Shivaji Maharaj is celebrated for his valor. (Ref: 695),History
Ashoka embraced Buddhism after the Kalinga war. (Ref: 1402),History
Solve: 3x - 4 = 11 (Ref: 2146),Maths
We shared the pizza equally among 4 people. (Ref: 976),Maths
Describe how vaccines work. (Ref: 135),Science
Define a rational number. (Ref: 959),Maths
He ran 5 km in the morning. (Ref: 1813),Maths
Chhatrapati Shivaji Maharaj is celebrated for his valor. (Ref: 928),History
Identify the verb in this sentence. (Ref: 580),English
Describe the water cycle. (Ref: 446),Science
The Indus Valley had planned drainage systems. (Ref: 525),History
State the Pythagorean theorem. (Ref: 1476),Maths
The cake was divided into 8 equal parts. (Ref: 703),Maths
The Red Fort was built by Shah Jahan. (Ref: 358),History
Correct the grammatical error in this statement. (Ref: 2483),English
What is the pH scale used for? (Ref: 1356),Science
Ashoka embraced Buddhism after the Kalinga war. (Ref: 277),History
What led to the decline of the Maurya Empire? (Ref: 2017),History
She scored 85 out of 100 in maths. (Ref: 1268),Maths
What is the structure of an atom? (Ref: 783),Science
I'm planning to visit the library today. (Ref: 1931),English
Convert this direct speech to reported speech. (Ref: 932),English
Convert this direct speech to reported speech. (Ref: 1064),English
What is the probability of rolling a 3 on a die? (Ref: 955),Maths
What is the structure of an atom? (Ref: 2240),Science
Use 'however' in a complex sentence. (Ref: 728),English
He saved ₹200 from his monthly allowance. (Ref: 2095),Maths
He's been learning French recently. (Ref: 818),English
Define the principle of buoyancy. (Ref: 723),Science
Trees produce oxygen through photosynthesis. (Ref: 2141),Science
I paid ₹120 for 2 books. (Ref: 2313),Maths
Identify the verb in this sentence. (Ref: 937),English
What is the function of an adverb in a sentence? (Ref: 1212),English
Explain the administration under Ashoka. (Ref: 90),History
Explain the rule of Rajaraja Chola. (Ref: 523),History
How do you use the present perfect tense? (Ref: 1639),English
Ashoka embraced Buddhism after the Kalinga war. (Ref: 1867),History
How did Shivaji Maharaj defend his forts? (Ref: 822),History
Let’s catch up after the class ends. (Ref: 2114),English
What led to the decline of the Maurya Empire? (Ref: 2330),History
Calculate the volume of a cube with side 3cm. (Ref: 1236),Maths
What is the structure of an atom? (Ref: 1988),Science
How did Shivaji Maharaj defend his forts? (Ref: 2074),History
Use 'however' in a complex sentence. (Ref: 462),English
We shared the pizza equally among 4 people. (Ref: 475),Maths
Solve: 3x - 4 = 11 (Ref: 2344),Maths
She scored 85 out of 100 in maths. (Ref: 264),Maths
The train takes 3 hours to reach Delhi. (Ref: 2497),Maths
Explain Ohm's law with an example. (Ref: 163),Science
Correct the grammatical error in this statement. (Ref: 763),English
Correct the grammatical error in this statement. (Ref: 1369),English
Buddha attained enlightenment in Bodh Gaya. (Ref: 165),History
The Qutub Minar is in Delhi. (Ref: 1586),History
What is the difference between mass and weight? (Ref: 597),Science
I enjoy reading novels before bed. (Ref: 1910),English
Define the principle of buoyancy. (Ref: 2438),Science
Can you help me carry this bag? (Ref: 1422),English
We shared the pizza equally among 4 people. (Ref: 470),Maths
What is the area of a triangle with base 5cm and height 4cm? (Ref: 1922),Maths
It's going to rain later today. (Ref: 2098),English
Chhatrapati Shivaji Maharaj is celebrated for his valor. (Ref: 1103),History
What is the function of an adverb in a sentence? (Ref: 1898),English
I usually take the bus to school. (Ref: 1702),English
Solve: 3x - 4 = 11 (Ref: 1193),Maths
Plastic takes centuries to decompose. (Ref: 2332),Science
I paid ₹120 for 2 books. (Ref: 412),Maths
Define the principle of buoyancy. (Ref: 1520),Science
State Newton’s second law of motion. (Ref: 2003),Science
He ran 5 km in the morning. (Ref: 696),Maths
What led to the decline of the Maurya Empire? (Ref: 948),History
What is the structure of an atom? (Ref: 1785),Science
She loves drinking coffee in the morning. (Ref: 893),English
The Maratha empire resisted the Mughals. (Ref: 1456),History
Washing hands prevents disease spread. (Ref: 2498),Science
Boiling water kills most bacteria. (Ref: 827),Science
She loves drinking coffee in the morning. (Ref: 1370),English
Discuss the contributions of the Gupta Empire. (Ref: 550),History
The train takes 3 hours to reach Delhi. (Ref: 1704),Maths
Plastic takes centuries to decompose. (Ref: 1706),Science
Describe the water cycle. (Ref: 2153),Science
What led to the decline of the Maurya Empire? (Ref: 62),History
Ancient Indian temples show architectural brilliance. (Ref: 2455),History
Let’s catch up after the class ends. (Ref: 899),English
What is the difference between mass and weight? (Ref: 400),Science
I counted 12 birds on the tree. (Ref: 1349),Maths
Can you help me carry this bag? (Ref: 399),English
What is the area of a triangle with base 5cm and height 4cm? (Ref: 922),Maths
Fruits contain natural sugars and vitamins. (Ref: 1606),Science
Trees produce oxygen through photosynthesis. (Ref: 1354),Science
Tipu Sultan fought bravely against the British. (Ref: 1485),History
Do you want to join us for lunch? (Ref: 842),English
Boiling water kills most bacteria. (Ref: 718),Science
Simplify the expression: (x^2 - 4)/(x - 2) (Ref: 2036),Maths
He's been learning French recently. (Ref: 954),English
How did Shivaji Maharaj defend his forts? (Ref: 1946),History
What is the law of conservation of mass? (Ref: 1742),Science
Simplify the expression: (x^2 - 4)/(x - 2) (Ref: 1538),Maths
State Newton’s second law of motion. (Ref: 841),Science
Let’s catch up after the class ends. (Ref: 2263),English
Where did you go during the weekend? (Ref: 83),English
I usually take the bus to school. (Ref: 1021),English
What is the law of conservation of mass? (Ref: 888),Science
What is the quadratic formula? (Ref: 1088),Maths
Identify the verb in this sentence. (Ref: 228),English
What is the quadratic formula? (Ref: 1248),Maths
The Red Fort was built by Shah Jahan. (Ref: 170),History
What is the difference between mass and weight? (Ref: 1654),Science
Wearing a helmet reduces head injury risk. (Ref: 438),Science
He's been learning French recently. (Ref: 1840),English
She bought 3 apples for ₹15 each. (Ref: 1499),Maths
Fruits contain natural sugars and vitamins. (Ref: 2311),Science
Ashoka embraced Buddhism after the Kalinga war. (Ref: 1770),History
I paid ₹120 for 2 books. (Ref: 927),Maths
I enjoy reading novels before bed. (Ref: 571),English
Define a rational number. (Ref: 429),Maths
What is the law of conservation of mass? (Ref: 789),Science
Washing hands prevents disease spread. (Ref: 1596),Science
The Qutub Minar is in Delhi. (Ref: 25),History
The sun is a natural source of light. (Ref: 1776),Science
What is the area of a triangle with base 5cm and height 4cm? (Ref: 912),Maths
He saved ₹200 from his monthly allowance. (Ref: 1457),Maths
Solve: 3x - 4 = 11 (Ref: 1975),Maths
Salt dissolves faster in hot water. (Ref: 695),Science
Ashoka embraced Buddhism after the Kalinga war. (Ref: 132),History
Buddha attained enlightenment in Bodh Gaya. (Ref: 1191),History
The train takes 3 hours to reach Delhi. (Ref: 1195),Maths
The Mauryas unified large parts of India. (Ref: 118),History
Fruits contain natural sugars and vitamins. (Ref: 1517),Science
The Qutub Minar is in Delhi. (Ref: 2094),History
Describe the achievements of Chandragupta Maurya. (Ref: 777),History
I'm planning to visit the library today. (Ref: 443),English
She bought 3 apples for ₹15 each. (Ref: 1429),Maths
Calculate the volume of a cube with side 3cm. (Ref: 705),Maths
Washing hands prevents disease spread. (Ref: 1555),Science
He's been learning French recently. (Ref: 2168),English
She loves drinking coffee in the morning. (Ref: 306),English
It's going to rain later today. (Ref: 1783),English
I'm planning to visit the library today. (Ref: 1621),English
Boiling water kills most bacteria. (Ref: 1072),Science
Trees produce oxygen through photosynthesis. (Ref: 523),Science
What led to the decline of the Maurya Empire? (Ref: 890),History
It's going to rain later today. (Ref: 1068),English
Magnets can attract some metals. (Ref: 361),Science
What is the area of a triangle with base 5cm and height 4cm? (Ref: 1721),Maths
Ashoka embraced Buddhism after the Kalinga war. (Ref: 2109),History
Chhatrapati Shivaji Maharaj is celebrated for his valor. (Ref: 1927),History
She loves drinking coffee in the morning. (Ref: 1813),English
What is a compound-complex sentence? (Ref: 1736),English
Convert this direct speech to reported speech. (Ref: 765),English
Can you help me carry this bag? (Ref: 2280),English
Define a rational number. (Ref: 1908),Maths
They travelled 250 km in 5 hours. (Ref: 589),Maths
What is the quadratic formula? (Ref: 305),Maths
Use 'however' in a complex sentence. (Ref: 483),English
Discuss the contributions of the Gupta Empire. (Ref: 1671),History
What is the structure of an atom? (Ref: 1775),Science
Let’s catch up after the class ends. (Ref: 527),English
Trees produce oxygen through photosynthesis. (Ref: 1049),Science
The Mauryas unified large parts of India. (Ref: 1243),History
I enjoy reading novels before bed. (Ref: 1740),English
Use 'however' in a complex sentence. (Ref: 1148),English
Convert this direct speech to reported speech. (Ref: 1077),English
She scored 85 out of 100 in maths. (Ref: 1386),Maths
Who were the main warriors in the First Battle of Tarain? (Ref: 1356),History
Explain the rule of Rajaraja Chola. (Ref: 2110),History
The train takes 3 hours to reach Delhi. (Ref: 1364),Maths
What is the law of conservation of mass? (Ref: 1684),Science
Turning off lights saves energy. (Ref: 600),Science
Turning off lights saves energy. (Ref: 1492),Science
What was the significance of the Battle of Panipat? (Ref: 1695),History
Use 'however' in a complex sentence. (Ref: 987),English
Define the principle of buoyancy. (Ref: 987),Science
Explain Ohm's law with an example. (Ref: 1074),Science
I counted 12 birds on the tree. (Ref: 957),Maths
He's been learning French recently. (Ref: 1215),English
Describe the water cycle. (Ref: 1878),Science
I usually take the bus to school. (Ref: 563),English
What is the pH scale used for? (Ref: 1525),Science
Ancient Indian temples show architectural brilliance. (Ref: 2357),History
Ancient Indian temples show architectural brilliance. (Ref: 128),History
Where did you go during the weekend? (Ref: 276),English
Convert 0.75 into a fraction. (Ref: 539),Maths
What is a compound-complex sentence? (Ref: 2377),English
The sun is a natural source of light. (Ref: 1350),Science
Boiling water kills most bacteria. (Ref: 2089),Science
She loves drinking coffee in the morning. (Ref: 518),English
Describe how vaccines work. (Ref: 1779),Science
Describe the achievements of Chandragupta Maurya. (Ref: 665),History
The Maratha empire resisted the Mughals. (Ref: 2321),History
He's been learning French recently. (Ref: 776),English
The train takes 3 hours to reach Delhi. (Ref: 2198),Maths
The sun is a natural source of light. (Ref: 44),Science
Discuss the contributions of the Gupta Empire. (Ref: 1742),History
Convert this direct speech to reported speech. (Ref: 95),English
Convert 0.75 into a fraction. (Ref: 265),Maths
How do you use the present perfect tense? (Ref: 242),English
She loves drinking coffee in the morning. (Ref: 303),English
What is the difference between mass and weight? (Ref: 1336),Science
She loves drinking coffee in the morning. (Ref: 91),English
Ashoka embraced Buddhism after the Kalinga war. (Ref: 1483),History
Trees produce oxygen through photosynthesis. (Ref: 1562),Science
What is the probability of rolling a 3 on a die? (Ref: 1907),Maths
What is the structure of an atom? (Ref: 2424),Science
Explain the administration under Ashoka. (Ref: 750),History
What is the pH scale used for? (Ref: 1181),Science
Describe the achievements of Chandragupta Maurya. (Ref: 1652),History
What is the area of a triangle with base 5cm and height 4cm? (Ref: 634),Maths
Convert this direct speech to reported speech. (Ref: 1018),English
Explain the distributive property. (Ref: 734),Maths
What is the area of a triangle with base 5cm and height 4cm? (Ref: 1144),Maths
Identify the verb in this sentence. (Ref: 1908),English
Magnets can attract some metals. (Ref: 629),Science
Convert 0.75 into a fraction. (Ref: 192),Maths
Identify the verb in this sentence. (Ref: 2195),English
Convert 0.75 into a fraction. (Ref: 1104),Maths
How do you use the present perfect tense? (Ref: 1033),English
Tipu Sultan fought bravely against the British. (Ref: 441),History
The Mauryas unified large parts of India. (Ref: 1833),History
What is the correct punctuation for this dialogue? (Ref: 2302),English
Describe the water cycle. (Ref: 1675),Science
Washing hands prevents disease spread. (Ref: 1793),Science
Convert this direct speech to reported speech. (Ref: 76),English
He saved ₹200 from his monthly allowance. (Ref: 413),Maths
The Qutub Minar is in Delhi. (Ref: 2469),History
We shared the pizza equally among 4 people. (Ref: 2304),Maths
We shared the pizza equally among 4 people. (Ref: 454),Maths
Simplify the expression: (x^2 - 4)/(x - 2) (Ref: 513),Maths
Do you want to join us for lunch? (Ref: 557),English
Explain Mendel’s law of inheritance. (Ref: 849),Science
Magnets can attract some metals. (Ref: 8),Science
Correct the grammatical error in this statement. (Ref: 2193),English
I enjoy reading novels before bed. (Ref: 1541),English
What was the significance of the Battle of Panipat? (Ref: 1389),History
The Qutub Minar is in Delhi. (Ref: 954),History
Tipu Sultan fought bravely against the British. (Ref: 1893),History
What is the probability of rolling a 3 on a die? (Ref: 664),Maths
Describe the conquests of Samudragupta. (Ref: 1878),History
What is the area of a triangle with base 5cm and height 4cm? (Ref: 2232),Maths
Explain the rule of Rajaraja Chola. (Ref: 2410),History
What led to the decline of the Maurya Empire? (Ref: 268),History
Describe the achievements of Chandragupta Maurya. (Ref: 1414),History
Explain Ohm's law with an example. (Ref: 1559),Science
Fruits contain natural sugars and vitamins. (Ref: 1817),Science
Who were the main warriors in the First Battle of Tarain? (Ref: 2401),History
Describe the impact of Akbar’s rule in India. (Ref: 621),History
Buddha attained enlightenment in Bodh Gaya. (Ref: 1800),History
Convert this direct speech to reported speech. (Ref: 1063),English
State the Pythagorean theorem. (Ref: 1372),Maths
Describe how vaccines work. (Ref: 2371),Science
The Indus Valley had planned drainage systems. (Ref: 1015),History
The Maratha empire resisted the Mughals. (Ref: 2167),History
Describe the water cycle. (Ref: 51),Science
What is the probability of rolling a 3 on a die? (Ref: 2277),Maths
Turning off lights saves energy. (Ref: 1828),Science
Define the principle of buoyancy. (Ref: 1569),Science
Buddha attained enlightenment in Bodh Gaya. (Ref: 317),History
Explain the distributive property. (Ref: 724),Maths
What was the significance of the Battle of Panipat? (Ref: 1373),History
Tipu Sultan fought bravely against the British. (Ref: 2003),History
What led to the decline of the Maurya Empire? (Ref: 2313),History
What is the law of conservation of mass? (Ref: 2178),Science
Explain the distributive property. (Ref: 758),Maths
They travelled 250 km in 5 hours. (Ref: 2077),Maths
Can you help me carry this bag? (Ref: 232),English
The train takes 3 hours to reach Delhi. (Ref: 1880),Maths
What is the structure of an atom? (Ref: 121),Science
What is the function of an adverb in a sentence? (Ref: 1322),English
Do you want to join us for lunch? (Ref: 727),English
The Maratha empire resisted the Mughals. (Ref: 489),History
She bought 3 apples for ₹15 each. (Ref: 2355),Maths
Convert 0.75 into a fraction. (Ref: 20),Maths
The cake was divided into 8 equal parts. (Ref: 2444),Maths
The train takes 3 hours to reach Delhi. (Ref: 1154),Maths
The Qutub Minar is in Delhi. (Ref: 1274),History
Describe the impact of Akbar’s rule in India. (Ref: 2299),History
Salt dissolves faster in hot water. (Ref: 15),Science
State Newton’s second law of motion. (Ref: 1620),Science
Solve: 3x - 4 = 11 (Ref: 297),Maths
Let’s catch up after the class ends. (Ref: 1638),English
Ashoka embraced Buddhism after the Kalinga war. (Ref: 1298),History
Describe how vaccines work. (Ref: 1239),Science
Describe the achievements of Chandragupta Maurya. (Ref: 716),History
Identify the verb in this sentence. (Ref: 1262),English
I counted 12 birds on the tree. (Ref: 796),Maths
She bought 3 apples for ₹15 each. (Ref: 1018),Maths
Where did you go during the weekend? (Ref: 240),English
Wearing a helmet reduces head injury risk. (Ref: 40),Science
Describe how vaccines work. (Ref: 1026),Science
What is the quadratic formula? (Ref: 939),Maths
Use 'however' in a complex sentence. (Ref: 1060),English
Explain Ohm's law with an example. (Ref: 986),Science
What is a compound-complex sentence? (Ref: 1482),English
What is the area of a triangle with base 5cm and height 4cm? (Ref: 377),Maths
Choose the correct article for this noun. (Ref: 2199),English
Do you want to join us for lunch? (Ref: 774),English
What is the structure of an atom? (Ref: 1389),Science
Explain the rule of Rajaraja Chola. (Ref: 2305),History
Let’s catch up after the class ends. (Ref: 549),English
What is the correct punctuation for this dialogue? (Ref: 2496),English
Describe the conquests of Samudragupta. (Ref: 544),History
What is the area of a triangle with base 5cm and height 4cm? (Ref: 495),Maths
Solve: 3x - 4 = 11 (Ref: 1326),Maths
Describe how vaccines work. (Ref: 547),Science
I paid ₹120 for 2 books. (Ref: 611),Maths
How did Shivaji Maharaj defend his forts? (Ref: 1080),History
Trees produce oxygen through photosynthesis. (Ref: 1415),Science
Tipu Sultan fought bravely against the British. (Ref: 683),History
She scored 85 out of 100 in maths. (Ref: 1835),Maths
Discuss the contributions of the Gupta Empire. (Ref: 344),History
He saved ₹200 from his monthly allowance. (Ref: 1058),Maths
Correct the grammatical error in this statement. (Ref: 313),English
Buddha attained enlightenment in Bodh Gaya. (Ref: 1707),History
What is the function of an adverb in a sentence? (Ref: 493),English
What is the area of a triangle with base 5cm and height 4cm? (Ref: 2257),Maths
It's going to rain later today. (Ref: 477),English
Chhatrapati Shivaji Maharaj is celebrated for his valor. (Ref: 2083),History
Describe the conquests of Samudragupta. (Ref: 1336),History
Explain the rule of Rajaraja Chola. (Ref: 2452),History
What is a compound-complex sentence? (Ref: 729),English
He ran 5 km in the morning. (Ref: 2108),Maths
What was the significance of the Battle of Panipat? (Ref: 666),History
What is a compound-complex sentence? (Ref: 2119),English
What is the probability of rolling a 3 on a die? (Ref: 365),Maths
Washing hands prevents disease spread. (Ref: 531),Science
Explain the distributive property. (Ref: 2051),Maths
She scored 85 out of 100 in maths. (Ref: 932),Maths
Salt dissolves faster in hot water. (Ref: 413),Science
Correct the grammatical error in this statement. (Ref: 1176),English
Wearing a helmet reduces head injury risk. (Ref: 440),Science
Magnets can attract some metals. (Ref: 2177),Science
Rewrite the sentence in passive voice. (Ref: 1915),English
It's going to rain later today. (Ref: 2245),English
He's been learning French recently. (Ref: 1584),English
The Maratha empire resisted the Mughals. (Ref: 737),History
Plastic takes centuries to decompose. (Ref: 1874),Science
Ashoka embraced Buddhism after the Kalinga war. (Ref: 1401),History
Solve: 3x - 4 = 11 (Ref: 1752),Maths
Convert this direct speech to reported speech. (Ref: 2023),English
What is the structure of an atom? (Ref: 1414),Science
Convert this direct speech to reported speech. (Ref: 1841),English
Boiling water kills most bacteria. (Ref: 2277),Science
I'm planning to visit the library today. (Ref: 2033),English
Trees produce oxygen through photosynthesis. (Ref: 154),Science
What is the quadratic formula? (Ref: 1442),Maths
How did Shivaji Maharaj defend his forts? (Ref: 342),History
Describe the water cycle. (Ref: 1254),Science
He saved ₹200 from his monthly allowance. (Ref: 383),Maths
Ancient Indian temples show architectural brilliance. (Ref: 1141),History
Rewrite the sentence in passive voice. (Ref: 1618),English
Buddha attained enlightenment in Bodh Gaya. (Ref: 1681),History
Washing hands prevents disease spread. (Ref: 1972),Science
She scored 85 out of 100 in maths. (Ref: 493),Maths
The Qutub Minar is in Delhi. (Ref: 985),History
Simplify the expression: (x^2 - 4)/(x - 2) (Ref: 871),Maths
Convert 0.75 into a fraction. (Ref: 2353),Maths
How did Shivaji Maharaj defend his forts? (Ref: 1014),History
Do you want to join us for lunch? (Ref: 1552),English
Convert this direct speech to reported speech. (Ref: 2010),English
Turning off lights saves energy. (Ref: 1011),Science
He saved ₹200 from his monthly allowance. (Ref: 1553),Maths
Describe the conquests of Samudragupta. (Ref: 290),History
State Newton’s second law of motion. (Ref: 2026),Science
He ran 5 km in the morning. (Ref: 26),Maths
I usually take the bus to school. (Ref: 1479),English
They travelled 250 km in 5 hours. (Ref: 643),Maths
Where did you go during the weekend? (Ref: 1125),English
What is the structure of an atom? (Ref: 2027),Science
Describe the water cycle. (Ref: 924),Science
She bought 3 apples for ₹15 each. (Ref: 444),Maths
Salt dissolves faster in hot water. (Ref: 582),Science
I usually take the bus to school. (Ref: 1332),English
How do you use the present perfect tense? (Ref: 1469),English
The Red Fort was built by Shah Jahan. (Ref: 908),History
Choose the correct article for this noun. (Ref: 645),English
Turning off lights saves energy. (Ref: 2489),Science
I counted 12 birds on the tree. (Ref: 2230),Maths
The sun is a natural source of light. (Ref: 2316),Science
Explain Ohm's law with an example. (Ref: 1216),Science
Rewrite the sentence in passive voice. (Ref: 1185),English
She scored 85 out of 100 in maths. (Ref: 596),Maths
Turning off lights saves energy. (Ref: 1601),Science
We shared the pizza equally among 4 people. (Ref: 1738),Maths
Trees produce oxygen through photosynthesis. (Ref: 1745),Science
Use 'however' in a complex sentence. (Ref: 1473),English
It's going to rain later today. (Ref: 1359),English
Choose the correct article for this noun. (Ref: 1258),English
How did Shivaji Maharaj defend his forts? (Ref: 2232),History
Magnets can attract some metals. (Ref: 620),Science
He's been learning French recently. (Ref: 1242),English
Explain the rule of Rajaraja Chola. (Ref: 838),History
The Maratha empire resisted the Mughals. (Ref: 418),History
Solve: 3x - 4 = 11 (Ref: 126),Maths
Salt dissolves faster in hot water. (Ref: 1327),Science
Define the principle of buoyancy. (Ref: 1009),Science
What is the pH scale used for? (Ref: 1004),Science
Where did you go during the weekend? (Ref: 637),English
The Maratha empire resisted the Mughals. (Ref: 2471),History
Describe the impact of Akbar’s rule in India. (Ref: 753),History
Define the principle of buoyancy. (Ref: 385),Science
The sun is a natural source of light. (Ref: 59),Science
Solve: 3x - 4 = 11 (Ref: 2365),Maths
The Qutub Minar is in Delhi. (Ref: 1268),History
Choose the correct article for this noun. (Ref: 34),English
Calculate the volume of a cube with side 3cm. (Ref: 1629),Maths
The sun is a natural source of light. (Ref: 1161),Science
They travelled 250 km in 5 hours. (Ref: 1947),Maths
Describe how vaccines work. (Ref: 2079),Science
They travelled 250 km in 5 hours. (Ref: 299),Maths
Define a rational number. (Ref: 277),Maths
They travelled 250 km in 5 hours. (Ref: 686),Maths
Rewrite the sentence in passive voice. (Ref: 626),English
Convert 0.75 into a fraction. (Ref: 1916),Maths
State Newton’s second law of motion. (Ref: 1044),Science
She loves drinking coffee in the morning. (Ref: 761),English
What was the significance of the Battle of Panipat? (Ref: 254),History
I enjoy reading novels before bed. (Ref: 2415),English
Describe the water cycle. (Ref: 2319),Science
Washing hands prevents disease spread. (Ref: 2270),Science
Where did you go during the weekend? (Ref: 2398),English
She bought 3 apples for ₹15 each. (Ref: 1453),Maths
She bought 3 apples for ₹15 each. (Ref: 503),Maths
Who were the main warriors in the First Battle of Tarain? (Ref: 691),History
Where did you go during the weekend? (Ref: 1628),English
He's been learning French recently. (Ref: 638),English
Ashoka embraced Buddhism after the Kalinga war. (Ref: 1291),History
She loves drinking coffee in the morning. (Ref: 1247),English
Describe the conquests of Samudragupta. (Ref: 1693),History
Turning off lights saves energy. (Ref: 2101),Science
Simplify the expression: (x^2 - 4)/(x - 2) (Ref: 562),Maths
Describe the impact of Akbar’s rule in India. (Ref: 960),History
How did Shivaji Maharaj defend his forts? (Ref: 1894),History
What is the function of an adverb in a sentence? (Ref: 1716),English
Buddha attained enlightenment in Bodh Gaya. (Ref: 2126),History
Ancient Indian temples show architectural brilliance. (Ref: 314),History
Describe the water cycle. (Ref: 1302),Science
Calculate the volume of a cube with side 3cm. (Ref: 2183),Maths
Describe how vaccines work. (Ref: 1537),Science
Salt dissolves faster in hot water. (Ref: 765),Science
State Newton’s second law of motion. (Ref: 1850),Science
Convert this direct speech to reported speech. (Ref: 1455),English
Describe the conquests of Samudragupta. (Ref: 228),History
We shared the pizza equally among 4 people. (Ref: 993),Maths
Buddha attained enlightenment in Bodh Gaya. (Ref: 298),History
The Qutub Minar is in Delhi. (Ref: 1137),History
Discuss the contributions of the Gupta Empire. (Ref: 1466),History
What led to the decline of the Maurya Empire? (Ref: 1889),History
Explain Ohm's law with an example. (Ref: 2432),Science
Explain the rule of Rajaraja Chola. (Ref: 820),History
What is the structure of an atom? (Ref: 1607),Science
Magnets can attract some metals. (Ref: 784),Science
What is the probability of rolling a 3 on a die? (Ref: 1069),Maths
I counted 12 birds on the tree. (Ref: 662),Maths
Fruits contain natural sugars and vitamins. (Ref: 1743),Science
The Maratha empire resisted the Mughals. (Ref: 503),History
The sun is a natural source of light. (Ref: 1149),Science
The Red Fort was built by Shah Jahan. (Ref: 2243),History
He's been learning French recently. (Ref: 1454),English
She bought 3 apples for ₹15 each. (Ref: 2142),Maths
Trees produce oxygen through photosynthesis. (Ref: 1461),Science
Explain the administration under Ashoka. (Ref: 622),History
What is the function of an adverb in a sentence? (Ref: 197),English
She loves drinking coffee in the morning. (Ref: 2238),English
Correct the grammatical error in this statement. (Ref: 1713),English
Plastic takes centuries to decompose. (Ref: 2024),Science
Convert 0.75 into a fraction. (Ref: 1713),Maths
How did Shivaji Maharaj defend his forts? (Ref: 707),History
Buddha attained enlightenment in Bodh Gaya. (Ref: 2333),History
Ancient Indian temples show architectural brilliance. (Ref: 1954),History
I usually take the bus to school. (Ref: 946),English
I paid ₹120 for 2 books. (Ref: 999),Maths
Explain Mendel’s law of inheritance. (Ref: 808),Science
Buddha attained enlightenment in Bodh Gaya. (Ref: 492),History
Boiling water kills most bacteria. (Ref: 897),Science
The train takes 3 hours to reach Delhi. (Ref: 541),Maths
Trees produce oxygen through photosynthesis. (Ref: 651),Science
He saved ₹200 from his monthly allowance. (Ref: 2374),Maths
Solve: 3x - 4 = 11 (Ref: 1184),Maths
Magnets can attract some metals. (Ref: 480),Science
Define the principle of buoyancy. (Ref: 2200),Science
Wearing a helmet reduces head injury risk. (Ref: 641),Science
Who were the main warriors in the First Battle of Tarain? (Ref: 443),History
She loves drinking coffee in the morning. (Ref: 1749),English
Describe how vaccines work. (Ref: 1206),Science
Buddha attained enlightenment in Bodh Gaya. (Ref: 791),History
Identify the verb in this sentence. (Ref: 1241),English
Fruits contain natural sugars and vitamins. (Ref: 2254),Science
He ran 5 km in the morning. (Ref: 882),Maths
Explain Ohm's law with an example. (Ref: 892),Science
He saved ₹200 from his monthly allowance. (Ref: 2288),Maths
How do you use the present perfect tense? (Ref: 1089),English
Can you help me carry this bag? (Ref: 1253),English
What is the quadratic formula? (Ref: 124),Maths
He ran 5 km in the morning. (Ref: 587),Maths
He's been learning French recently. (Ref: 2311),English
The Qutub Minar is in Delhi. (Ref: 1133),History
Ashoka embraced Buddhism after the Kalinga war. (Ref: 1424),History
I usually take the bus to school. (Ref: 23),English
State Newton’s second law of motion. (Ref: 1043),Science
The Qutub Minar is in Delhi. (Ref: 408),History
Convert 0.75 into a fraction. (Ref: 2110),Maths
She scored 85 out of 100 in maths. (Ref: 800),Maths
It's going to rain later today. (Ref: 2134),English
She scored 85 out of 100 in maths. (Ref: 127),Maths
Rewrite the sentence in passive voice. (Ref: 1164),English
The train takes 3 hours to reach Delhi. (Ref: 1727),Maths
She scored 85 out of 100 in maths. (Ref: 410),Maths
I enjoy reading novels before bed. (Ref: 1665),English
He's been learning French recently. (Ref: 2430),English
I enjoy reading novels before bed. (Ref: 279),English
I'm planning to visit the library today. (Ref: 885),English
She loves drinking coffee in the morning. (Ref: 1816),English
Describe the conquests of Samudragupta. (Ref: 762),History
They travelled 250 km in 5 hours. (Ref: 1441),Maths
Salt dissolves faster in hot water. (Ref: 747),Science
Turning off lights saves energy. (Ref: 2294),Science
What is the correct punctuation for this dialogue? (Ref: 383),English
Convert this direct speech to reported speech. (Ref: 1386),English
Describe the water cycle. (Ref: 1861),Science
Describe how vaccines work. (Ref: 625),Science
Describe the conquests of Samudragupta. (Ref: 1144),History
How do you use the present perfect tense? (Ref: 1683),English
